page,event,category,subcategory,X,x1
category profile checkout checkout checkout home checkout search,checkout_click checkout_click checkout_click scroll add_to_cart remove hover add_to_cart,sports books fashion electronics sports books home_appliances home_appliances,cricket nonfiction women_clothing laptop football fiction refrigerator washing_machine,category checkout_click sports cricket profile checkout_click books nonfiction checkout checkout_click fashion women_clothing checkout scroll electronics laptop checkout add_to_cart sports football home remove books fiction checkout hover home_appliances refrigerator search add_to_cart home_appliances washing_machine,category checkout_click profile checkout_click checkout checkout_click checkout scroll checkout add_to_cart home remove checkout hover search add_to_cart
category search profile checkout profile cart search profile checkout cart cart product,click hover hover remove scroll hover hover click scroll add_to_cart scroll add_to_cart,electronics sports sports books home_appliances electronics electronics sports home_appliances books electronics home_appliances,camera football cricket nonfiction refrigerator mobile camera gym_equipment washing_machine nonfiction mobile washing_machine,category click electronics camera search hover sports football profile hover sports cricket checkout remove books nonfiction profile scroll home_appliances refrigerator cart hover electronics mobile search hover electronics camera profile click sports gym_equipment checkout scroll home_appliances washing_machine cart add_to_cart books nonfiction cart scroll electronics mobile product add_to_cart home_appliances washing_machine,category click search hover profile hover checkout remove profile scroll cart hover search hover profile click checkout scroll cart add_to_cart cart scroll product add_to_cart
search category category profile profile checkout checkout product checkout profile product cart,scroll checkout_click remove scroll click hover hover click checkout_click click remove checkout_click,groceries books home_appliances fashion books fashion electronics groceries groceries home_appliances electronics electronics,vegetables nonfiction washing_machine shoes fiction men_clothing camera beverages fruits microwave laptop mobile,search scroll groceries vegetables category checkout_click books nonfiction category remove home_appliances washing_machine profile scroll fashion shoes profile click books fiction checkout hover fashion men_clothing checkout hover electronics camera product click groceries beverages checkout checkout_click groceries fruits profile click home_appliances microwave product remove electronics laptop cart checkout_click electronics mobile,search scroll category checkout_click category remove profile scroll profile click checkout hover checkout hover product click checkout checkout_click profile click product remove cart checkout_click
category category home home checkout product search checkout profile product,remove hover checkout_click scroll click hover checkout_click add_to_cart click scroll,fashion books home_appliances fashion home_appliances fashion home_appliances electronics fashion books,women_clothing fiction washing_machine men_clothing washing_machine shoes washing_machine laptop women_clothing comics,category remove fashion women_clothing category hover books fiction home checkout_click home_appliances washing_machine home scroll fashion men_clothing checkout click home_appliances washing_machine product hover fashion shoes search checkout_click home_appliances washing_machine checkout add_to_cart electronics laptop profile click fashion women_clothing product scroll books comics,category remove category hover home checkout_click home scroll checkout click product hover search checkout_click checkout add_to_cart profile click product scroll
product profile cart product checkout product category profile product category cart product checkout category,scroll add_to_cart checkout_click click click click hover hover scroll checkout_click checkout_click remove remove hover,books electronics fashion sports fashion home_appliances groceries books home_appliances sports fashion books home_appliances electronics,nonfiction laptop shoes cricket shoes washing_machine beverages fiction washing_machine gym_equipment men_clothing comics refrigerator camera,product scroll books nonfiction profile add_to_cart electronics laptop cart checkout_click fashion shoes product click sports cricket checkout click fashion shoes product click home_appliances washing_machine category hover groceries beverages profile hover books fiction product scroll home_appliances washing_machine category checkout_click sports gym_equipment cart checkout_click fashion men_clothing product remove books comics checkout remove home_appliances refrigerator category hover electronics camera,product scroll profile add_to_cart cart checkout_click product click checkout click product click category hover profile hover product scroll category checkout_click cart checkout_click product remove checkout remove category hover
category search profile category profile checkout search search,remove checkout_click remove checkout_click add_to_cart add_to_cart checkout_click remove,electronics sports home_appliances fashion fashion books fashion books,camera football refrigerator men_clothing shoes nonfiction men_clothing fiction,category remove electronics camera search checkout_click sports football profile remove home_appliances refrigerator category checkout_click fashion men_clothing profile add_to_cart fashion shoes checkout add_to_cart books nonfiction search checkout_click fashion men_clothing search remove books fiction,category remove search checkout_click profile remove category checkout_click profile add_to_cart checkout add_to_cart search checkout_click search remove
cart home category search category home home category product,click checkout_click scroll scroll checkout_click add_to_cart add_to_cart checkout_click hover,sports groceries home_appliances books electronics fashion groceries fashion books,gym_equipment fruits refrigerator nonfiction camera men_clothing vegetables men_clothing fiction,cart click sports gym_equipment home checkout_click groceries fruits category scroll home_appliances refrigerator search scroll books nonfiction category checkout_click electronics camera home add_to_cart fashion men_clothing home add_to_cart groceries vegetables category checkout_click fashion men_clothing product hover books fiction,cart click home checkout_click category scroll search scroll category checkout_click home add_to_cart home add_to_cart category checkout_click product hover
cart home product profile product cart profile home search checkout search,click hover add_to_cart scroll checkout_click remove click scroll checkout_click click click,electronics sports books fashion fashion sports fashion sports electronics books home_appliances,camera cricket comics women_clothing men_clothing football shoes football mobile fiction refrigerator,cart click electronics camera home hover sports cricket product add_to_cart books comics profile scroll fashion women_clothing product checkout_click fashion men_clothing cart remove sports football profile click fashion shoes home scroll sports football search checkout_click electronics mobile checkout click books fiction search click home_appliances refrigerator,cart click home hover product add_to_cart profile scroll product checkout_click cart remove profile click home scroll search checkout_click checkout click search click
cart category home checkout profile home product profile category profile search product cart search,remove add_to_cart add_to_cart add_to_cart add_to_cart scroll remove checkout_click click remove scroll remove click scroll,groceries books groceries sports fashion groceries sports home_appliances groceries home_appliances fashion home_appliances books electronics,beverages nonfiction beverages gym_equipment women_clothing fruits cricket washing_machine vegetables microwave shoes washing_machine comics camera,cart remove groceries beverages category add_to_cart books nonfiction home add_to_cart groceries beverages checkout add_to_cart sports gym_equipment profile add_to_cart fashion women_clothing home scroll groceries fruits product remove sports cricket profile checkout_click home_appliances washing_machine category click groceries vegetables profile remove home_appliances microwave search scroll fashion shoes product remove home_appliances washing_machine cart click books comics search scroll electronics camera,cart remove category add_to_cart home add_to_cart checkout add_to_cart profile add_to_cart home scroll product remove profile checkout_click category click profile remove search scroll product remove cart click search scroll
product cart search search checkout profile profile home checkout search product cart home,click click hover checkout_click scroll click add_to_cart scroll hover click add_to_cart remove click,books electronics sports books fashion fashion groceries sports sports groceries sports fashion electronics,fiction mobile cricket comics women_clothing men_clothing vegetables football cricket fruits cricket men_clothing camera,product click books fiction cart click electronics mobile search hover sports cricket search checkout_click books comics checkout scroll fashion women_clothing profile click fashion men_clothing profile add_to_cart groceries vegetables home scroll sports football checkout hover sports cricket search click groceries fruits product add_to_cart sports cricket cart remove fashion men_clothing home click electronics camera,product click cart click search hover search checkout_click checkout scroll profile click profile add_to_cart home scroll checkout hover search click product add_to_cart cart remove home click
search cart cart cart profile profile profile profile search search checkout category product category,click scroll click checkout_click checkout_click click hover scroll hover remove click scroll checkout_click scroll,books home_appliances home_appliances fashion sports fashion home_appliances fashion groceries groceries home_appliances fashion sports electronics,fiction microwave refrigerator men_clothing football women_clothing microwave women_clothing vegetables fruits refrigerator shoes football camera,search click books fiction cart scroll home_appliances microwave cart click home_appliances refrigerator cart checkout_click fashion men_clothing profile checkout_click sports football profile click fashion women_clothing profile hover home_appliances microwave profile scroll fashion women_clothing search hover groceries vegetables search remove groceries fruits checkout click home_appliances refrigerator category scroll fashion shoes product checkout_click sports football category scroll electronics camera,search click cart scroll cart click cart checkout_click profile checkout_click profile click profile hover profile scroll search hover search remove checkout click category scroll product checkout_click category scroll
category category product checkout product category search product product,checkout_click add_to_cart remove hover remove click remove remove scroll,fashion sports groceries books fashion electronics home_appliances fashion home_appliances,shoes gym_equipment beverages nonfiction men_clothing mobile microwave shoes washing_machine,category checkout_click fashion shoes category add_to_cart sports gym_equipment product remove groceries beverages checkout hover books nonfiction product remove fashion men_clothing category click electronics mobile search remove home_appliances microwave product remove fashion shoes product scroll home_appliances washing_machine,category checkout_click category add_to_cart product remove checkout hover product remove category click search remove product remove product scroll
home cart checkout home category search profile category product checkout checkout cart cart home,add_to_cart click click scroll add_to_cart add_to_cart hover scroll add_to_cart hover hover click scroll add_to_cart,electronics groceries sports sports home_appliances home_appliances groceries home_appliances electronics books books sports sports fashion,mobile fruits cricket gym_equipment microwave refrigerator beverages washing_machine camera comics fiction gym_equipment football shoes,home add_to_cart electronics mobile cart click groceries fruits checkout click sports cricket home scroll sports gym_equipment category add_to_cart home_appliances microwave search add_to_cart home_appliances refrigerator profile hover groceries beverages category scroll home_appliances washing_machine product add_to_cart electronics camera checkout hover books comics checkout hover books fiction cart click sports gym_equipment cart scroll sports football home add_to_cart fashion shoes,home add_to_cart cart click checkout click home scroll category add_to_cart search add_to_cart profile hover category scroll product add_to_cart checkout hover checkout hover cart click cart scroll home add_to_cart
